frame_index_relative,timestamp_column_1_relative_ms,timestamp_column_2_relative_ms
669,6738,8721
670,6749,8725
671,6759,8726
672,6769,8728
673,6780,8729
674,6790,8734
675,6808,8735
676,6815,8738
677,6820,8740
678,6831,8747
679,6841,8750
680,6851,8763
681,6860,8767
682,6871,8773
683,6880,8777
684,6889,8783
685,6899,8787
686,6911,8789
687,6922,8790
688,6932,8792
689,6941,8793
690,6950,8803
691,6962,8808
692,6971,8809
693,6981,8811
694,6990,8817
695,7003,8825
696,7013,8826
697,7022,8831
698,7033,8835
699,7043,8843
700,7053,8845
701,7063,8846
702,7074,8852
703,7083,8853
704,7091,8855
705,7103,8858
706,7112,8859
707,7123,8864
708,7132,8865
709,7142,8866
710,7154,8877
711,7163,8883
712,7172,8890
713,7185,8892
714,7193,8895
715,7204,8899
716,7214,8910
717,7224,8919
718,7235,8930
719,7244,8931
720,7254,8939
721,7264,8941
722,7274,8946
723,7283,8958
724,7295,8960
725,7304,8963
726,7313,8967
727,7325,8968
728,7333,8970
729,7343,8979
730,7355,8982
731,7362,8989
732,7374,8996
733,7383,8996
734,7394,9000
735,7405,9005
736,7415,9007
737,7426,9011
738,7436,9013
739,7444,9018
740,7456,9025
741,7465,9027
742,7477,9028
743,7486,9029
744,7495,9044
745,7503,9047
746,7514,9049
747,7526,9052
748,7535,9057
749,7547,9058
750,7556,9060
751,7566,9061
752,7577,9063
753,7586,9064
754,7595,9071
755,7605,9073
756,7613,9078
757,7626,9083
758,7636,9091
759,7646,9093
760,7655,9097
761,7665,9100
762,7675,9102
763,7688,9106
764,7697,9110
765,7706,9115
766,7717,9117
767,7728,9118
768,7736,9127
769,7748,9129
770,7758,9136
771,7766,9138
772,7777,9143
773,7787,9151
774,7797,9153
775,7808,9155
776,7817,9163
777,7827,9165
778,7837,9168
779,7848,9169
780,7856,9176
781,7867,9182
782,7877,9183
783,7885,9191
784,7898,9194
785,7907,9201
786,7918,9209
787,7927,9216
788,7938,9219
789,7949,9221
790,7960,9225
791,7968,9229
792,7977,9236
793,7987,9238
794,7999,9239
795,8007,9240
796,8017,9242
797,8029,9243
798,8038,9255
799,8048,9257
800,8056,9258
801,8071,9259
802,8079,9261
803,8090,9262
804,8098,9264
805,8110,9268
806,8120,9270
807,8128,9274
808,8140,9279
809,8149,9284
810,8158,9291
811,8169,9294
812,8178,9295
813,8189,9296
814,8200,9298
815,8210,9300
816,8218,9302
817,8229,9313
818,8238,9316
819,8249,9318
820,8259,9323
821,8271,9324
822,8280,9326
823,8292,9327
824,8301,9328
825,8310,9329
826,8319,9332
827,8330,9334
828,8339,9335
829,8351,9340
830,8363,9342
831,8372,9350
832,8379,9354
833,8392,9357
834,8400,9370
835,8411,9370
836,8421,9372
837,8430,9375
838,8442,9378
839,8452,9384
840,8461,9386
841,8472,9392
842,8482,9407
843,8491,9411
844,8502,9419
845,8512,9423
846,8523,9425
847,8531,9427
848,8543,9432
849,8552,9440
850,8563,9449
851,8571,9452
852,8582,9453
853,8592,9458
854,8602,9459
855,8611,9461
856,8623,9462
857,8633,9463
858,8643,9465
859,8652,9467
860,8663,9469
861,8674,9470
862,8681,9472
863,8693,9473
864,8704,9475
865,8714,9477
866,8723,9484
867,8734,9488
868,8744,9492
869,8754,9493
870,8762,9495
871,8774,9496
872,8786,9497
873,8796,9499
874,8802,9504
875,8814,9508
876,8824,9510
877,8833,9512
878,8843,9518
879,8854,9519
880,8863,9520
881,8876,9533
882,8885,9535
883,8894,9537
884,8903,9538
885,8916,9540
886,8925,9541
887,8934,9542
888,8945,9547
889,8955,9552
890,8967,9557
891,8974,9561
892,8985,9563
893,8996,9564
894,9007,9567
895,9014,9576
896,9027,9577
897,9033,9579
898,9045,9580
899,9057,9584
900,9065,9598
901,9075,9602
902,9085,9606
903,9096,9607
904,9109,9612
905,9117,9621
906,9127,9624
907,9138,9625
908,9145,9626
909,9157,9629
910,9167,9639
911,9176,9640
912,9187,9641
913,9196,9647
914,9208,9648
915,9217,9650
916,9228,9654
917,9238,9664
918,9247,9666
919,9260,9668
920,9269,9669
921,9275,9674
922,9287,9679
923,9299,9681
924,9308,9684
925,9319,9689
926,9328,9691
927,9338,9694
928,9349,9697
929,9358,9698
930,9369,9712
931,9378,9713
932,9388,9715
933,9400,9717
934,9407,9720
935,9418,9722
936,9430,9725
937,9438,9726
938,9449,9737
939,9460,9738
940,9467,9740
941,9479,9741
942,9488,9743
943,9501,9745
944,9509,9750
945,9520,9752
946,9529,9757
947,9540,9767
948,9552,9768
949,9561,9771
950,9568,9772
951,9579,9773
952,9591,9776
953,9600,9777
954,9609,9780
955,9622,9785
956,9630,9790
957,9639,9793
958,9650,9795
959,9661,9799
960,9668,9800
961,9681,9803
962,9691,9805
963,9699,9806
964,9709,9807
965,9721,9808
966,9732,9810
967,9741,9815
968,9751,9820
969,9762,9821
970,9772,9826
971,9781,9837
972,9793,9838
973,9800,9842
974,9811,9846
975,9822,9848
976,9830,9853
977,9842,9858
978,9851,9860
979,9862,9861
980,9871,9863
981,9882,9864
982,9893,9865
983,9901,9867
984,9911,9868
985,9923,9870
986,9930,9880
987,9941,9889
988,9953,9902
989,9963,9913
990,9971,9921
991,9982,9936
992,9991,9943
993,10004,9951
994,10014,9965
995,10024,9971
996,10035,9983
997,10043,9997
998,10052,10004
999,10065,10016
1000,10073,10024
1001,10085,10033
1002,10092,10045
1003,10103,10051
1004,10113,10065
1005,10125,10075
1006,10133,10082
1007,10144,10091
1008,10155,10105
1009,10167,10117
1010,10173,10124
1011,10185,10131
1012,10196,10147
1013,10204,10151
1014,10215,10167
1015,10223,10179
1016,10235,10185
1017,10245,10215
1018,10255,10216
1019,10263,10223
1020,10276,10225
1021,10285,10233
1022,10296,10247
1023,10304,10252
1024,10316,10264
1025,10327,10276
1026,10335,10282
1027,10346,10292
