n_probe,n_session,n_participant,adjusted,status,participant_variance,session_within_person_variance,within_session_probe_variance,total_variance,icc_person,session_variance_proportion,probe_variance_proportion,feature,feature_value_column,feature_family,scale
1420,71,46,True,ok,1.1469882049641263e-25,5.1589600401309714e-26,5.493716154152541e-25,7.156600363129764e-25,0.1602699811035025,0.07208674200545728,0.7676432768910403,m1_micro_peak_share,m1_micro_peak_share,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,0.0004565991173893759,0.0006451484057898392,0.0030310787017349293,0.004132826224914145,0.11048108305082711,0.15610344366783568,0.7334154732813372,m1_micro_spectral_entropy,m1_micro_spectral_entropy,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,0.1330794929018363,0.019196504085024758,2.206808833941861,2.359084830928722,0.056411491082092924,0.008137267398505335,0.9354512415194017,m1_harmonic_overlap,m1_harmonic_overlap,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,0.25725988215829965,0.18116498250998436,9.342651177948596,9.781076042616881,0.026301797577014948,0.018521988963242385,0.9551762134597426,m1_harmonic_power_fraction,m1_harmonic_power_fraction,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,0.009920718738839682,0.020665870536478698,0.8367207499582084,0.8673073392335269,0.011438527370939817,0.023827620961609675,0.9647338516674504,m1_phase_trend_rad_s,m1_phase_trend_rad_s,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,1.7068802440330904,14.309860442620083,32.099377855656876,48.11611854231005,0.03547418818773122,0.2974026350449894,0.6671231767672794,q_target_power_snr_db,q_target_power_snr_db,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,0.0013823407066134588,0.001182433451494624,0.015603510476509456,0.01816828463461754,0.07608537263774316,0.06508228351077434,0.8588323438514825,q_target_amplitude_cv,q_target_amplitude_cv,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,1.1212404052660718e-06,1.0916106739279775e-06,5.18228161271674e-06,7.395132691910789e-06,0.15161870002583558,0.1476120469240589,0.7007692530501055,q_phase_jump_fraction,q_phase_jump_fraction,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,2.7894983659314305e-06,1.9838566567615444e-05,4.728240933095265e-05,6.991047426449953e-05,0.03990100761407558,0.2837710196695011,0.6763279727164233,q_frame_gap_fraction,q_frame_gap_fraction,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,8.043477134579082e-05,0.0006452748840320634,0.0008231605037931407,0.001548870159170995,0.051931255095547905,0.41661005618278246,0.5314586887216697,q_frame_gap_duration_fraction,q_frame_gap_duration_fraction,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,0.07384111134036805,0.23560117297297978,29.87102098609589,30.180463270409238,0.002446652679873419,0.007806413402672235,0.9897469339174543,q_frame_rate_hz,q_frame_rate_hz,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,0.00029090427702386075,0.00120814609048995,0.00932770972465761,0.010826760092171421,0.02686900555173536,0.11158888533639277,0.8615421091118718,q_selection_margin,q_selection_margin,C2b-v2_all_sessions,absolute
