model_family,outcome,term,estimate,se,ci95_low,ci95_high,p_value,n_probe,n_participants,effect_scale,status,effect_size,effect_ci95_low,effect_ci95_high,q_value_bh
participant_clustered_GEE_one_vs_rest,probe_state:no_specific_thought,time_on_task,0.9378934082413278,0.47587002490947355,0.005188159418759719,1.870598657063896,0.04873503238158329,1400,46,log_odds,fit,2.5545942588361896,1.0052016412230032,6.4921818266620255,0.09747006476316658
participant_clustered_GEE_one_vs_rest,probe_state:no_specific_thought,C(block_num)[T.2]:time_on_task,-0.1486727693685482,0.4700328167220624,-1.0699370901437903,0.772591551406694,0.7517725676511183,1400,46,log_odds,fit,0.8618510928378593,0.3430300967139842,2.1653706579721566,0.8636924078818841
participant_clustered_ordinal_GEE,vigilance_ordinal,block2,-0.6937478531304736,0.1694191133660159,-1.0258093153278647,-0.36168639093308247,4.2242031073733274e-05,1400,46,log_odds,fit,0.4996997538985622,0.3585062033995036,0.6965007625489512,0.00021121015536866637
participant_clustered_ordinal_GEE,vigilance_ordinal,time_on_task,-1.3633244543611105,0.30806234071324573,-1.967126642159072,-0.7595222665631489,9.622702064701797e-06,1400,46,log_odds,fit,0.2558089366509357,0.1398581419089344,0.4678899002754599,6.415134709801198e-05
participant_clustered_ordinal_GEE,vigilance_ordinal,block2:time_on_task,0.40467913946396705,0.25607325798991354,-0.09722444619626347,0.9065827251241976,0.11403230726769947,1400,46,log_odds,fit,1.4988215102223776,0.9073523314976536,2.4758474095694747,0.1900538454461658
participant_clustered_ordinal_GEE,vigilance_by_probe_state,label2,-0.8152584585285023,0.16291609206112723,-1.1345739989683117,-0.49594291808869295,5.610566503421907e-07,1400,46,log_odds,fit,0.44252493823520345,0.3215590766591709,0.6089964027594043,5.6105665034219065e-06
participant_clustered_ordinal_GEE,vigilance_by_probe_state,label3,-0.7845987524436625,0.20280211174425644,-1.182090891462405,-0.38710661342491987,0.00010937685803818353,1400,46,log_odds,fit,0.45630275542383464,0.30663692332687564,0.6790186985584551,0.0003645895267939451
participant_clustered_ordinal_GEE,vigilance_by_probe_state,label4,-1.5672322525083948,0.26351999654810815,-2.0837314457426865,-1.0507330592741029,2.7260293605979416e-09,1400,46,log_odds,fit,0.2086217964816858,0.12446491055395431,0.3496813179998962,5.452058721195883e-08
participant_clustered_GEE_binomial_rate,pre10_error_rate_by_vigilance,probe_vigilance,-0.3852291909454839,0.09893809715026507,-0.5791478613600034,-0.1913105205309644,9.875175065894294e-05,1400,46,log_odds,fit,0.6802947009500776,0.5603756809381505,0.8258760968462432,0.0003645895267939451
participant_clustered_GEE,pre10_rt_median_by_vigilance,probe_vigilance,-0.040799490143718385,0.024682026989755104,-0.08917626304363839,0.00757728275620162,0.09833004288580276,1395,46,log_ratio,fit,-3.997839555542837,-8.531566568012705,0.7606063009300001,0.178781896156005
