evaluator_version,session,onset_ms,attention,frame_start,frame_end,model,channels,range_bin,weights,global_offset_s,ecg_hr_bpm,pred_hr_bpm,pred_raw_spectral_hr_bpm,hr_abs_error_bpm,ecg_rmssd_full_ms,radar_rmssd_full_ms,ecg_peak_count,radar_peak_count,matched_beat_count,beat_precision,beat_recall,false_beat_rate,timing_error_signed_mean_ms,timing_error_mae_ms,timing_error_rmse_ms,alignment_offset_s,match_tolerance_ms,matched_interval_count,ibi_mae_ms_matched,ibi_rmse_ms_matched,ibi_bias_ms_matched,rmssd_run_interval_count,ecg_rmssd_matched_ms,radar_rmssd_matched_ms,rmssd_abs_error_ms_matched,rmssd_usable,resp_harmonic_mislock
ECG evaluator v1,sub-97793_,1786870116558,2,37787,40753,S1,1,248,[1.0],0.3650000000000011,82.2481151473612,66.5,50.57316250842886,15.748115147361204,19.5479358212522,352.6443881818184,41,33,11,0.3333333333333333,0.2682926829268293,0.6666666666666667,38.90909090909229,83.00000000000037,92.66116181600044,0.3650000000000011,150.0,2,59.250000000000455,60.939519197315775,14.24999999999875,1,,,,False,0
ECG evaluator v1,sub-97793_,1786870116558,2,37787,40753,T0,0|1|2|3,18,"[0.1589256433392445, 0.20171969840921986, 0.2205437479617386, 0.418810910289797]",0.3650000000000011,82.2481151473612,78.2,82.93998651382333,4.048115147361202,19.5479358212522,217.40484094165168,41,39,24,0.6153846153846154,0.5853658536585366,0.3846153846153846,14.625000000001183,53.41666666666678,67.3179644176304,0.3650000000000011,150.0,18,60.91666666666592,76.76433995605551,7.416666666666654,8,25.1140256771828,85.69047288267855,60.576447205495754,True,0
ECG evaluator v1,sub-97793_,1786870116558,2,37787,40753,T1,4|5|6|7,8,"[0.14649526832474974, 0.23811589297847757, 0.3138868476000569, 0.3015019910967159]",0.3650000000000011,82.2481151473612,61.1,50.57316250842886,21.148115147361203,19.5479358212522,350.42321351678254,41,30,16,0.5333333333333333,0.3902439024390244,0.4666666666666667,14.09375000000121,86.09375000000044,96.52128974998276,0.3650000000000011,150.0,7,137.5714285714282,160.60955317610623,63.42857142857182,3,15.656468311851299,190.26297590440402,174.6065075925527,True,0
ECG evaluator v1,sub-97793_,1786870116558,2,37787,40753,A4,0|1|4|5,248,"[0.1283273126484582, 0.3775783150142874, 0.18349344155152997, 0.3106009307857245]",0.3650000000000011,82.2481151473612,59.2,50.57316250842886,23.0481151473612,19.5479358212522,348.96274872828474,41,30,11,0.36666666666666664,0.2682926829268293,0.6333333333333333,-48.99999999999858,78.72727272727276,89.65210538520495,0.3650000000000011,150.0,2,50.75000000000432,55.6158700372508,22.749999999998522,2,,,,False,0
ECG evaluator v1,sub-97793_,1786870116558,2,37787,40753,C8-PH,0|1|2|3|4|5|6|7,248,"[0.056093131609768, 0.1650431983650312, 0.12312478996943131, 0.1117044620723996, 0.08020678960741025, 0.13576672439488982, 0.16706851695071012, 0.16099238703035967]",0.3650000000000011,82.2481151473612,59.2,50.57316250842886,23.0481151473612,19.5479358212522,333.0647727652128,41,30,12,0.4,0.2926829268292683,0.6,-11.16666666666503,81.66666666666696,90.67271732261435,0.3650000000000011,150.0,3,58.83333333333477,59.33309925047597,-16.500000000000608,2,,,,False,0
ECG evaluator v1,sub-97793_,1786870187007,1,44751,47719,S1,5,18,[1.0],0.3650000000000011,83.62369337979094,73.8,58.625336927223714,9.823693379790939,18.51013236041277,226.59240421306893,42,36,22,0.6111111111111112,0.5238095238095238,0.38888888888888884,17.795454545455538,76.84090909090878,90.1864860870365,0.3650000000000011,150.0,15,83.43333333333358,97.67863976666902,13.499999999999856,6,15.948354147058755,126.64912159190018,110.70076744484143,True,0
ECG evaluator v1,sub-97793_,1786870187007,1,44751,47719,T0,0|1|2|3,18,"[0.3346233822974817, 0.3152502654817052, 0.1711131054357847, 0.17901324678502836]",0.3650000000000011,83.62369337979094,70.7,58.625336927223714,12.923693379790933,18.51013236041277,260.8378109790903,42,35,20,0.5714285714285714,0.47619047619047616,0.4285714285714286,28.67500000000107,66.2750000000003,78.13729903189679,0.3650000000000011,150.0,11,88.04545454545463,108.90373146624827,-9.136363636363543,4,14.18038551427014,141.65686240583852,127.47647689156838,True,0
ECG evaluator v1,sub-97793_,1786870187007,1,44751,47719,T1,4|5|6|7,246,"[0.3178998002091051, 0.33243460239215716, 0.13220776751080746, 0.2174578298879303]",0.3650000000000011,83.62369337979094,75.5,58.625336927223714,8.123693379790936,18.51013236041277,265.65821220938324,42,37,12,0.32432432432432434,0.2857142857142857,0.6756756756756757,58.16666666666814,85.58333333333412,96.70229228582734,0.3650000000000011,150.0,4,73.87500000000026,90.40153483210366,-73.87500000000026,2,,,,False,0
ECG evaluator v1,sub-97793_,1786870187007,1,44751,47719,A4,0|1|4|5,18,"[0.23938074443366972, 0.22552172748894764, 0.24907326107314315, 0.2860242670042395]",0.3650000000000011,83.62369337979094,72.7,58.625336927223714,10.923693379790933,18.51013236041277,248.5013906932325,42,36,20,0.5555555555555556,0.47619047619047616,0.4444444444444444,18.125000000001243,59.97500000000006,75.60348867611863,0.3650000000000011,150.0,10,76.75000000000018,92.12396539446186,11.750000000000341,5,14.13550494322675,151.16216457831084,137.0266596350841,True,0
ECG evaluator v1,sub-97793_,1786870187007,1,44751,47719,C8-PH,0|1|2|3|4|5|6|7,18,"[0.15492955534448385, 0.1459598642449041, 0.07922482032415765, 0.0828825604916059, 0.16120264676073484, 0.18511769862499386, 0.09155844214546412, 0.0991244120636557]",0.3650000000000011,83.62369337979094,70.6,58.625336927223714,13.023693379790942,18.51013236041277,236.61117573954212,42,35,20,0.5714285714285714,0.47619047619047616,0.4285714285714286,14.475000000001325,62.17499999999985,77.04292634629073,0.3650000000000011,150.0,11,73.72727272727276,91.93302898404772,-7.09090909090876,4,14.18038551427014,136.01470508735557,121.83431957308542,True,0
