window_s,model,feature_set,n_probe,n_group,positive_n,positive_rate,roc_auc,pr_auc,balanced_accuracy
30,logistic,C+W_extended,1420,46,376,0.2647887323943662,0.5527227520991278,0.30649441125107024,0.5384721203228173
30,HGB,C+W_extended,1420,46,376,0.2647887323943662,0.5536780590201353,0.3119111672778516,0.5192946523192304
30,dummy,C+B+W,1420,46,376,0.2647887323943662,0.46858950843727065,0.2518516621847547,0.5
30,logistic,C+B+W,1420,46,376,0.2647887323943662,0.6463683052090976,0.37465821641907004,0.6192834433846907
30,HGB,C+B+W,1420,46,376,0.2647887323943662,0.6288416075650118,0.3603972663181717,0.5591271296975626
60,dummy,C,1440,46,376,0.2611111111111111,0.47640377539593665,0.2510007232176185,0.5
60,logistic,C,1440,46,376,0.2611111111111111,0.5955772076467765,0.3408799034365355,0.57521796512558
60,HGB,C,1440,46,376,0.2611111111111111,0.6124982502799552,0.3850271471800083,0.5528615421532554
60,dummy,B,1440,46,376,0.2611111111111111,0.47640377539593665,0.2510007232176185,0.5
60,logistic,B,1440,46,376,0.2611111111111111,0.6710226363781795,0.3959346145466348,0.6354383298672213
60,HGB,B,1440,46,376,0.2611111111111111,0.6075215465525516,0.33506223334391266,0.532714765637498
60,dummy,W_basic,1420,46,376,0.2647887323943662,0.46858950843727065,0.2518516621847547,0.5
60,logistic,W_basic,1420,46,376,0.2647887323943662,0.5084270807858482,0.2777778038231883,0.5160338713621913
60,HGB,W_basic,1420,46,376,0.2647887323943662,0.520902115431646,0.2863908429423887,0.5182348985081927
60,dummy,W_extended,1420,46,376,0.2647887323943662,0.46858950843727065,0.2518516621847547,0.5
60,logistic,W_extended,1420,46,376,0.2647887323943662,0.5536322042879269,0.3056422181835284,0.5455999836960952
60,HGB,W_extended,1420,46,376,0.2647887323943662,0.5161383182522215,0.28411504737872795,0.512008844868346
60,dummy,C+B,1440,46,376,0.2611111111111111,0.47640377539593665,0.2510007232176185,0.5
60,logistic,C+B,1440,46,376,0.2611111111111111,0.6962486002239641,0.42012130245800317,0.647716365381539
60,HGB,C+B,1440,46,376,0.2611111111111111,0.64795507718765,0.3771398258572992,0.5482822748360262
60,dummy,C+W_basic,1420,46,376,0.2647887323943662,0.46858950843727065,0.2518516621847547,0.5
60,logistic,C+W_basic,1420,46,376,0.2647887323943662,0.5718085106382979,0.3167938277023211,0.5580520909757887
60,HGB,C+W_basic,1420,46,376,0.2647887323943662,0.5581132306187332,0.3264949896613194,0.5341363006440043
60,dummy,C+W_extended,1420,46,376,0.2647887323943662,0.46858950843727065,0.2518516621847547,0.5
60,logistic,C+W_extended,1420,46,376,0.2647887323943662,0.5693145227031874,0.32096692417631095,0.5490594684927039
60,HGB,C+W_extended,1420,46,376,0.2647887323943662,0.5361284340099454,0.3059530597914918,0.5289241460829869
60,dummy,C+B+W,1420,46,376,0.2647887323943662,0.46858950843727065,0.2518516621847547,0.5
60,logistic,C+B+W,1420,46,376,0.2647887323943662,0.6565072959973913,0.39244501640286156,0.6106678486997636
60,HGB,C+B+W,1420,46,376,0.2647887323943662,0.6037234042553191,0.3470466043512478,0.5391242765142251
