session,range_bin,pair,ch_i,ch_j,same_tx,timestamp_source,coherence_hr_timestamp_aware,coherence_br_timestamp_aware,coherence_hr_legacy_frame_index,coherence_br_legacy_frame_index,input_frames,segments,gap_count,median_dt_ms,resampled_fs_hz,gap_threshold_ms,discarded_short_gap_segments,paired_segments,coherence_segments_used,coherence_weighted_by
sub-3_,9,tx0_rx3__tx1_rx3,tx0_rx3,tx1_rx3,False,device_ms,0.8785876319351943,0.9890276362912294,0.8763418197631836,0.9861690998077393,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx3__tx1_rx3,tx0_rx3,tx1_rx3,False,host_ms,nan,nan,0.8763418197631836,0.9861690998077393,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx1_rx0__tx1_rx1,tx1_rx0,tx1_rx1,True,device_ms,0.6731755787901118,0.9098043173884556,0.6684309840202332,0.8985317349433899,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx1_rx0__tx1_rx1,tx1_rx0,tx1_rx1,True,host_ms,nan,nan,0.6684309840202332,0.8985317349433899,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx1_rx0__tx1_rx2,tx1_rx0,tx1_rx2,True,device_ms,0.8669704555406073,0.9879715426703425,0.869683563709259,0.9843072295188904,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx1_rx0__tx1_rx2,tx1_rx0,tx1_rx2,True,host_ms,nan,nan,0.869683563709259,0.9843072295188904,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx1_rx0__tx1_rx3,tx1_rx0,tx1_rx3,True,device_ms,0.8529990047490125,0.9924543571606139,0.8556703925132751,0.990818202495575,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx1_rx0__tx1_rx3,tx1_rx0,tx1_rx3,True,host_ms,nan,nan,0.8556703925132751,0.990818202495575,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx1_rx1__tx1_rx2,tx1_rx1,tx1_rx2,True,device_ms,0.58328801629813,0.9099801156493964,0.5761169195175171,0.8951499462127686,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx1_rx1__tx1_rx2,tx1_rx1,tx1_rx2,True,host_ms,nan,nan,0.5761169195175171,0.8951499462127686,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx1_rx1__tx1_rx3,tx1_rx1,tx1_rx3,True,device_ms,0.6049154549859777,0.9024811111477761,0.6016712188720703,0.8880214691162109,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx1_rx1__tx1_rx3,tx1_rx1,tx1_rx3,True,host_ms,nan,nan,0.6016712188720703,0.8880214691162109,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx1_rx2__tx1_rx3,tx1_rx2,tx1_rx3,True,device_ms,0.866298057648183,0.9875658547929529,0.8680453300476074,0.9840790033340454,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx1_rx2__tx1_rx3,tx1_rx2,tx1_rx3,True,host_ms,nan,nan,0.8680453300476074,0.9840790033340454,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx0__tx0_rx1,tx0_rx0,tx0_rx1,True,device_ms,0.4138436738107991,0.5529099304855373,0.4229070842266083,0.5246586203575134,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx0__tx0_rx1,tx0_rx0,tx0_rx1,True,host_ms,nan,nan,0.4229070842266083,0.5246586203575134,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx0__tx0_rx2,tx0_rx0,tx0_rx2,True,device_ms,0.37269007177497754,0.7244629232596406,0.38576868176460266,0.706178605556488,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,12,tx0_rx0__tx0_rx2,tx0_rx0,tx0_rx2,True,host_ms,nan,nan,0.38576868176460266,0.706178605556488,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,12,tx0_rx0__tx0_rx3,tx0_rx0,tx0_rx3,True,device_ms,0.37940940023886266,0.6044021226671233,0.3694976270198822,0.599332869052887,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
